exp,H,beta,m,V
87,0.01,2.35619449019234,0.7325,5.87368421052632
88,0.01,2.35619449019234,0.7325,6.25263157894737
89,0.01,2.35619449019234,0.7325,6.63157894736842
90,0.01,2.35619449019234,0.7325,7.01052631578947
91,0.01,2.35619449019234,0.7325,7.38947368421053
92,0.01,2.35619449019234,0.7325,7.76842105263158
93,0.01,2.35619449019234,0.7325,8.14736842105263
94,0.01,2.35619449019234,0.7325,8.52631578947368
95,0.01,2.35619449019234,0.7325,8.90526315789474
96,0.01,2.35619449019234,0.7325,9.28421052631579
97,0.01,2.35619449019234,0.7325,9.66315789473684
98,0.01,2.35619449019234,0.7325,10.0421052631579
99,0.01,2.35619449019234,0.7325,10.4210526315789
100,0.01,2.35619449019234,0.7325,10.8
101,0.01,2.35619449019234,0.9379,3.6
102,0.01,2.35619449019234,0.9379,3.97894736842105
103,0.01,2.35619449019234,0.9379,4.35789473684211
104,0.01,2.35619449019234,0.9379,4.73684210526316
105,0.01,2.35619449019234,0.9379,5.11578947368421
106,0.01,2.35619449019234,0.9379,5.49473684210526
107,0.01,2.35619449019234,0.9379,5.87368421052632
108,0.01,2.35619449019234,0.9379,6.25263157894737
109,0.01,2.35619449019234,0.9379,6.63157894736842
110,0.01,2.35619449019234,0.9379,7.01052631578947
111,0.01,2.35619449019234,0.9379,7.38947368421053
112,0.01,2.35619449019234,0.9379,7.76842105263158
113,0.01,2.35619449019234,0.9379,8.14736842105263
114,0.01,2.35619449019234,0.9379,8.52631578947368
115,0.01,2.35619449019234,0.9379,8.90526315789474
116,0.01,2.35619449019234,0.9379,9.28421052631579
117,0.01,2.35619449019234,0.9379,9.66315789473684
118,0.01,2.35619449019234,0.9379,10.0421052631579
119,0.01,2.35619449019234,0.9379,10.4210526315789
120,0.01,2.35619449019234,0.9379,10.8
121,0.01,2.35619449019234,1.1238,3.6
122,0.01,2.35619449019234,1.1238,3.97894736842105
123,0.01,2.35619449019234,1.1238,4.35789473684211
124,0.01,2.35619449019234,1.1238,4.73684210526316
125,0.01,2.35619449019234,1.1238,5.11578947368421
126,0.01,2.35619449019234,1.1238,5.49473684210526
127,0.01,2.35619449019234,1.1238,5.87368421052632
128,0.01,2.35619449019234,1.1238,6.25263157894737
129,0.01,2.35619449019234,1.1238,6.63157894736842
130,0.01,2.35619449019234,1.1238,7.01052631578947
131,0.01,2.35619449019234,1.1238,7.38947368421053
132,0.01,2.35619449019234,1.1238,7.76842105263158
133,0.01,2.35619449019234,1.1238,8.14736842105263
134,0.01,2.35619449019234,1.1238,8.52631578947368
135,0.01,2.35619449019234,1.1238,8.90526315789474
136,0.01,2.35619449019234,1.1238,9.28421052631579
137,0.01,2.35619449019234,1.1238,9.66315789473684
138,0.01,2.35619449019234,1.1238,10.0421052631579
139,0.01,2.35619449019234,1.1238,10.4210526315789
140,0.01,2.35619449019234,1.1238,10.8
141,0.01,2.35619449019234,1.3067,3.6
142,0.01,2.35619449019234,1.3067,3.97894736842105
143,0.01,2.35619449019234,1.3067,4.35789473684211
144,0.01,2.35619449019234,1.3067,4.73684210526316
145,0.01,2.35619449019234,1.3067,5.11578947368421
146,0.01,2.35619449019234,1.3067,5.49473684210526
147,0.01,2.35619449019234,1.3067,5.87368421052632
148,0.01,2.35619449019234,1.3067,6.25263157894737
149,0.01,2.35619449019234,1.3067,6.63157894736842
150,0.01,2.35619449019234,1.3067,7.01052631578947
151,0.01,2.35619449019234,1.3067,7.38947368421053
152,0.01,2.35619449019234,1.3067,7.76842105263158
153,0.01,2.35619449019234,1.3067,8.14736842105263
154,0.01,2.35619449019234,1.3067,8.52631578947368
155,0.01,2.35619449019234,1.3067,8.90526315789474
156,0.01,2.35619449019234,1.3067,9.28421052631579
157,0.01,2.35619449019234,1.3067,9.66315789473684
158,0.01,2.35619449019234,1.3067,10.0421052631579
159,0.01,2.35619449019234,1.3067,10.4210526315789
160,0.01,2.35619449019234,1.3067,10.8
161,0.01,3.14159265358979,0.7325,3.6
162,0.01,3.14159265358979,0.7325,3.97894736842105
163,0.01,3.14159265358979,0.7325,4.35789473684211
164,0.01,3.14159265358979,0.7325,4.73684210526316
165,0.01,3.14159265358979,0.7325,5.11578947368421
166,0.01,3.14159265358979,0.7325,5.49473684210526
167,0.01,3.14159265358979,0.7325,5.87368421052632
168,0.01,3.14159265358979,0.7325,6.25263157894737
169,0.01,3.14159265358979,0.7325,6.63157894736842
170,0.01,3.14159265358979,0.7325,7.01052631578947
171,0.01,3.14159265358979,0.7325,7.38947368421053
172,0.01,3.14159265358979,0.7325,7.76842105263158
173,0.01,3.14159265358979,0.7325,8.14736842105263
174,0.01,3.14159265358979,0.7325,8.52631578947368
175,0.01,3.14159265358979,0.7325,8.90526315789474
176,0.01,3.14159265358979,0.7325,9.28421052631579
177,0.01,3.14159265358979,0.7325,9.66315789473684
178,0.01,3.14159265358979,0.7325,10.0421052631579
179,0.01,3.14159265358979,0.7325,10.4210526315789
180,0.01,3.14159265358979,0.7325,10.8
181,0.01,3.14159265358979,0.9379,3.6
182,0.01,3.14159265358979,0.9379,3.97894736842105
183,0.01,3.14159265358979,0.9379,4.35789473684211
184,0.01,3.14159265358979,0.9379,4.73684210526316
185,0.01,3.14159265358979,0.9379,5.11578947368421
186,0.01,3.14159265358979,0.9379,5.49473684210526
187,0.01,3.14159265358979,0.9379,5.87368421052632
188,0.01,3.14159265358979,0.9379,6.25263157894737
189,0.01,3.14159265358979,0.9379,6.63157894736842
190,0.01,3.14159265358979,0.9379,7.01052631578947
191,0.01,3.14159265358979,0.9379,7.38947368421053
192,0.01,3.14159265358979,0.9379,7.76842105263158
193,0.01,3.14159265358979,0.9379,8.14736842105263
194,0.01,3.14159265358979,0.9379,8.52631578947368
195,0.01,3.14159265358979,0.9379,8.90526315789474
196,0.01,3.14159265358979,0.9379,9.28421052631579
197,0.01,3.14159265358979,0.9379,9.66315789473684
198,0.01,3.14159265358979,0.9379,10.0421052631579
199,0.01,3.14159265358979,0.9379,10.4210526315789
200,0.01,3.14159265358979,0.9379,10.8
201,0.01,3.14159265358979,1.1238,3.6
202,0.01,3.14159265358979,1.1238,3.97894736842105
203,0.01,3.14159265358979,1.1238,4.35789473684211
204,0.01,3.14159265358979,1.1238,4.73684210526316
205,0.01,3.14159265358979,1.1238,5.11578947368421
206,0.01,3.14159265358979,1.1238,5.49473684210526
207,0.01,3.14159265358979,1.1238,5.87368421052632
208,0.01,3.14159265358979,1.1238,6.25263157894737
209,0.01,3.14159265358979,1.1238,6.63157894736842
210,0.01,3.14159265358979,1.1238,7.01052631578947
211,0.01,3.14159265358979,1.1238,7.38947368421053
212,0.01,3.14159265358979,1.1238,7.76842105263158
213,0.01,3.14159265358979,1.1238,8.14736842105263
214,0.01,3.14159265358979,1.1238,8.52631578947368
215,0.01,3.14159265358979,1.1238,8.90526315789474
216,0.01,3.14159265358979,1.1238,9.28421052631579
217,0.01,3.14159265358979,1.1238,9.66315789473684
218,0.01,3.14159265358979,1.1238,10.0421052631579
219,0.01,3.14159265358979,1.1238,10.4210526315789
220,0.01,3.14159265358979,1.1238,10.8
221,0.01,3.14159265358979,1.3067,3.6
222,0.01,3.14159265358979,1.3067,3.97894736842105
223,0.01,3.14159265358979,1.3067,4.35789473684211
224,0.01,3.14159265358979,1.3067,4.73684210526316
225,0.01,3.14159265358979,1.3067,5.11578947368421
226,0.01,3.14159265358979,1.3067,5.49473684210526
227,0.01,3.14159265358979,1.3067,5.87368421052632
228,0.01,3.14159265358979,1.3067,6.25263157894737
229,0.01,3.14159265358979,1.3067,6.63157894736842
230,0.01,3.14159265358979,1.3067,7.01052631578947
231,0.01,3.14159265358979,1.3067,7.38947368421053
232,0.01,3.14159265358979,1.3067,7.76842105263158
233,0.01,3.14159265358979,1.3067,8.14736842105263
234,0.01,3.14159265358979,1.3067,8.52631578947368
235,0.01,3.14159265358979,1.3067,8.90526315789474
236,0.01,3.14159265358979,1.3067,9.28421052631579
237,0.01,3.14159265358979,1.3067,9.66315789473684
238,0.01,3.14159265358979,1.3067,10.0421052631579
239,0.01,3.14159265358979,1.3067,10.4210526315789
240,0.01,3.14159265358979,1.3067,10.8
241,0.01,3.92699081698724,0.7325,3.6
242,0.01,3.92699081698724,0.7325,3.97894736842105
243,0.01,3.92699081698724,0.7325,4.35789473684211
244,0.01,3.92699081698724,0.7325,4.73684210526316
245,0.01,3.92699081698724,0.7325,5.11578947368421
246,0.01,3.92699081698724,0.7325,5.49473684210526
247,0.01,3.92699081698724,0.7325,5.87368421052632
248,0.01,3.92699081698724,0.7325,6.25263157894737
249,0.01,3.92699081698724,0.7325,6.63157894736842
250,0.01,3.92699081698724,0.7325,7.01052631578947
251,0.01,3.92699081698724,0.7325,7.38947368421053
252,0.01,3.92699081698724,0.7325,7.76842105263158
253,0.01,3.92699081698724,0.7325,8.14736842105263
254,0.01,3.92699081698724,0.7325,8.52631578947368
255,0.01,3.92699081698724,0.7325,8.90526315789474
256,0.01,3.92699081698724,0.7325,9.28421052631579
257,0.01,3.92699081698724,0.7325,9.66315789473684
258,0.01,3.92699081698724,0.7325,10.0421052631579
259,0.01,3.92699081698724,0.7325,10.4210526315789
260,0.01,3.92699081698724,0.7325,10.8
261,0.01,3.92699081698724,0.9379,3.6
262,0.01,3.92699081698724,0.9379,3.97894736842105
263,0.01,3.92699081698724,0.9379,4.35789473684211
264,0.01,3.92699081698724,0.9379,4.73684210526316
265,0.01,3.92699081698724,0.9379,5.11578947368421
266,0.01,3.92699081698724,0.9379,5.49473684210526
267,0.01,3.92699081698724,0.9379,5.87368421052632
268,0.01,3.92699081698724,0.9379,6.25263157894737
269,0.01,3.92699081698724,0.9379,6.63157894736842
270,0.01,3.92699081698724,0.9379,7.01052631578947
271,0.01,3.92699081698724,0.9379,7.38947368421053
272,0.01,3.92699081698724,0.9379,7.76842105263158
273,0.01,3.92699081698724,0.9379,8.14736842105263
274,0.01,3.92699081698724,0.9379,8.52631578947368
275,0.01,3.92699081698724,0.9379,8.90526315789474
276,0.01,3.92699081698724,0.9379,9.28421052631579
277,0.01,3.92699081698724,0.9379,9.66315789473684
278,0.01,3.92699081698724,0.9379,10.0421052631579
279,0.01,3.92699081698724,0.9379,10.4210526315789
280,0.01,3.92699081698724,0.9379,10.8
281,0.01,3.92699081698724,1.1238,3.6
282,0.01,3.92699081698724,1.1238,3.97894736842105
283,0.01,3.92699081698724,1.1238,4.35789473684211
284,0.01,3.92699081698724,1.1238,4.73684210526316
285,0.01,3.92699081698724,1.1238,5.11578947368421
286,0.01,3.92699081698724,1.1238,5.49473684210526
287,0.01,3.92699081698724,1.1238,5.87368421052632
288,0.01,3.92699081698724,1.1238,6.25263157894737
289,0.01,3.92699081698724,1.1238,6.63157894736842
290,0.01,3.92699081698724,1.1238,7.01052631578947
291,0.01,3.92699081698724,1.1238,7.38947368421053
292,0.01,3.92699081698724,1.1238,7.76842105263158
293,0.01,3.92699081698724,1.1238,8.14736842105263
294,0.01,3.92699081698724,1.1238,8.52631578947368
295,0.01,3.92699081698724,1.1238,8.90526315789474
296,0.01,3.92699081698724,1.1238,9.28421052631579
297,0.01,3.92699081698724,1.1238,9.66315789473684
298,0.01,3.92699081698724,1.1238,10.0421052631579
299,0.01,3.92699081698724,1.1238,10.4210526315789
300,0.01,3.92699081698724,1.1238,10.8
301,0.01,3.92699081698724,1.3067,3.6
302,0.01,3.92699081698724,1.3067,3.97894736842105
303,0.01,3.92699081698724,1.3067,4.35789473684211
304,0.01,3.92699081698724,1.3067,4.73684210526316
305,0.01,3.92699081698724,1.3067,5.11578947368421
306,0.01,3.92699081698724,1.3067,5.49473684210526
307,0.01,3.92699081698724,1.3067,5.87368421052632
308,0.01,3.92699081698724,1.3067,6.25263157894737
309,0.01,3.92699081698724,1.3067,6.63157894736842
310,0.01,3.92699081698724,1.3067,7.01052631578947
311,0.01,3.92699081698724,1.3067,7.38947368421053
312,0.01,3.92699081698724,1.3067,7.76842105263158
313,0.01,3.92699081698724,1.3067,8.14736842105263
314,0.01,3.92699081698724,1.3067,8.52631578947368
315,0.01,3.92699081698724,1.3067,8.90526315789474
316,0.01,3.92699081698724,1.3067,9.28421052631579
317,0.01,3.92699081698724,1.3067,9.66315789473684
318,0.01,3.92699081698724,1.3067,10.0421052631579
319,0.01,3.92699081698724,1.3067,10.4210526315789
320,0.01,3.92699081698724,1.3067,10.8
321,0.01,4.71238898038469,0.7325,3.6
322,0.01,4.71238898038469,0.7325,3.97894736842105
323,0.01,4.71238898038469,0.7325,4.35789473684211
